Fri Jun 29 03:46:04 UTC 2018
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       
tcp        0      0 127.0.0.11:40409        0.0.0.0:*               LISTEN      
tcp        0      0 172.24.0.7:32768        172.24.0.5:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32769        172.24.0.2:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32769        172.24.0.3:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32768        172.24.0.4:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32768        172.24.0.6:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32769        172.24.0.4:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32769        172.24.0.5:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32768        172.24.0.2:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32768        172.24.0.3:80           ESTABLISHED 
tcp        0      0 172.24.0.7:32769        172.24.0.6:80           ESTABLISHED 
tcp        0      0 :::3128                 :::*                    LISTEN      
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50412 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50662 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50506 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50826 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50196 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50122 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50202 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50238 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50542 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50298 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50354 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50972 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50732 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50144 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50240 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50140 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50950 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50794 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50522 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50754 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50500 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50880 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50430 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50912 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50878 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50884 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50070 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50816 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50630 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50042 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50032 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50648 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50798 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50128 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50332 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50580 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50956 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50456 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50756 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50310 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50714 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50746 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50020 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50502 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50168 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50000 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50866 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50760 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50060 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50574 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50408 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50364 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50562 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50596 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50370 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50650 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50016 TIME_WAIT   
